County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location
Albany,720644,Store,JAC   ,SPEEDWAY LLC                     ,SPEEDWAY #07708        ,601,SARATOGA ST                  ,             ,               ,COHOES            ,NY,12047,2500,"{'human_address': '{""address"":""601 SARATOGA ST"",""city"":""COHOES"",""state"":""NY"",""zip"":""12047""}', 'latitude': '42.754424', 'longitude': '-73.700539', 'needs_recoding': False}"
Albany,734310,Store,A     ,GREEN ISLAND MART INC            ,GREEN ISLAND MART      ,165,PAINE STREET                 ,             ,               ,GREEN ISLAND      ,NY,12183,1800,"{'human_address': '{""address"":""165 PAINE STREET"",""city"":""GREEN ISLAND"",""state"":""NY"",""zip"":""12183""}', 'latitude': '42.746003', 'longitude': '-73.691984', 'needs_recoding': False}"
Albany,720557,Store,JAC   ,"SAEED SADIQ, SAIKA NOREEN        ",19 STREET QUICK STOP   ,315,19TH STREET                  ,             ,               ,WATERVLIET        ,NY,12189,1200,"{'human_address': '{""address"":""315 19TH STREET"",""city"":""WATERVLIET"",""state"":""NY"",""zip"":""12189""}', 'latitude': '42.73063', 'longitude': '-73.703443', 'needs_recoding': False}"
Albany,724747,Store,JAC   ,SUNOCO RETAIL LLC                ,SUNOCO #2706           ,1465,WASHINGTON AVE              ,             ,               ,ALBANY            ,NY,12203,3000,"{'human_address': '{""address"":""1465 WASHINGTON AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12203""}', 'latitude': '42.690493', 'longitude': '-73.821889', 'needs_recoding': False}"
Albany,730927,Store,JAC   ,NAPREDAK LLC                     ,KNOX STORE             ,2160,BERNE ALTAMONT RD           ,             ,               ,KNOX              ,NY,12107,700,"{'human_address': '{""address"":""2160 BERNE ALTAMONT RD"",""city"":""KNOX"",""state"":""NY"",""zip"":""12107""}', 'needs_recoding': False}"
Albany,720578,Store,A     ,ADIRONDACK S AND S LLC           ,NEWSSTAND              ,1,CROSSGATES MALL RD D 105       ,             ,               ,ALBANY            ,NY,12203,600,"{'human_address': '{""address"":""1 CROSSGATES MALL RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12203""}', 'latitude': '42.687038', 'longitude': '-73.850605', 'needs_recoding': False}"
Albany,724678,Store,JAC   ,SAUCY BOY LLC                    ,SAUCY BOY              ,113,EVERETT RD           ,             ,               ,ALBANY            ,NY,12205,0,"{'human_address': '{""address"":""113 EVERETT RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.693853', 'longitude': '-73.773554', 'needs_recoding': False}"
Albany,734352,Store,JAC   ,N & M MART CORP                  ,N & M MART             ,1348,CENTRAL AVENUE              ,             ,               ,ALBANY            ,NY,12205,0,"{'human_address': '{""address"":""1348 CENTRAL AVENUE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.70305', 'longitude': '-73.816231', 'needs_recoding': False}"
Albany,731013,Store,JAC   ,LITHIA ARMORY GARAGE LLC         ,ARMORY MINI MART       ,926,CENTRAL AVENUE               ,             ,               ,ALBANY            ,NY,12205,0,"{'human_address': '{""address"":""926 CENTRAL AVENUE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12205""}', 'latitude': '42.681304', 'longitude': '-73.79143', 'needs_recoding': False}"
Albany,724469,Store,JAC   ,SC OF UPSTATE NY INC             ,SMOKERS CHOICE         ,215,WESTERN AVE              ,             ,               ,ALBANY            ,NY,12203,2000,"{'human_address': '{""address"":""215 WESTERN AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12203""}', 'latitude': '42.661759', 'longitude': '-73.776924', 'needs_recoding': False}"
Albany,724461,Store,JAC   ,EL PILON MARKET INC              ,EL PILON MARKET        ,179,S PEARL STREET               ,             ,               ,ALBANY            ,NY,12202,1500,"{'human_address': '{""address"":""179 S PEARL STREET"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12202""}', 'latitude': '42.644507', 'longitude': '-73.755425', 'needs_recoding': False}"
Albany,726475,Store,JAC   ,YEMLIHA KAYA                     ,GULKAYA                ,4449,WESTERN TPKE                ,             ,               ,ALTAMONT          ,NY,12009,800,"{'human_address': '{""address"":""4449 WESTERN TPKE"",""city"":""ALTAMONT"",""state"":""NY"",""zip"":""12009""}', 'latitude': '42.735034', 'longitude': '-73.985823', 'needs_recoding': False}"
Albany,732394,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #04805        ,2463,US ROUTE 9W             ,             ,               ,RAVENA            ,NY,12143,10000,"{'human_address': '{""address"":""2463 US ROUTE"",""city"":""RAVENA"",""state"":""NY"",""zip"":""12143""}', 'needs_recoding': False}"
Albany,725030,Store,A     ,MANI PETROLINE INC               ,MANI PETROLINE         ,213,MAIN STREET                  ,             ,               ,RAVENA            ,NY,12143,0,"{'human_address': '{""address"":""213 MAIN STREET"",""city"":""RAVENA"",""state"":""NY"",""zip"":""12143""}', 'latitude': '42.46927', 'longitude': '-73.815353', 'needs_recoding': False}"
Albany,720646,Store,JAC   ,SPEEDWAY LLC                     ,SPEEDWAY #07710        ,1358,NEW SCOTLAND RD             ,             ,               ,SLINGERLANDS      ,NY,12159,2500,"{'human_address': '{""address"":""1358 NEW SCOTLAND RD"",""city"":""SLINGERLANDS"",""state"":""NY"",""zip"":""12159""}', 'latitude': '42.639441', 'longitude': '-73.854274', 'needs_recoding': False}"
Albany,731050,Store,JAC   ,SHREE DAKSAH INC                 ,PINE HILLS MARKET      ,504,HUDSON AVE                   ,             ,               ,ALBANY            ,NY,12206,1200,"{'human_address': '{""address"":""504 HUDSON AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.661976', 'longitude': '-73.780467', 'needs_recoding': False}"
Albany,732390,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #10684        ,933,LOUDON ROAD              ,             ,               ,LATHAM            ,NY,12110,8000,"{'human_address': '{""address"":""933 LOUDON ROAD"",""city"":""LATHAM"",""state"":""NY"",""zip"":""12110""}', 'latitude': '42.763655', 'longitude': '-73.755404', 'needs_recoding': False}"
Albany,724262,Store,JAC   ,TRI-CITY MART INC                ,TRI-CITY MART          ,125,MAIN ST                      ,             ,               ,COHOES            ,NY,12047,1600,"{'human_address': '{""address"":""125 MAIN ST"",""city"":""COHOES"",""state"":""NY"",""zip"":""12047""}', 'latitude': '42.768765', 'longitude': '-73.70083', 'needs_recoding': False}"
Albany,732386,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #10690        ,1901,2ND AVENUE              ,             ,               ,WATERVLIET        ,NY,12189,10500,"{'human_address': '{""address"":""1901 2ND AVENUE"",""city"":""WATERVLIET"",""state"":""NY"",""zip"":""12189""}', 'latitude': '42.73078', 'longitude': '-73.701397', 'needs_recoding': False}"
Albany,724230,Store,JAC   ,VIOSTRA HOLDINGS INC             ,ROUTE 20 CAFE          ,1823,WESTERN AVE                 ,             ,               ,ALBANY            ,NY,12203,1200,"{'human_address': '{""address"":""1823 WESTERN AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12203""}', 'latitude': '42.69096', 'longitude': '-73.868679', 'needs_recoding': False}"
Albany,732385,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #10692        ,911,CENTRAL AVENUE           ,             ,               ,ALBANY            ,NY,12206,10000,"{'human_address': '{""address"":""911 CENTRAL AVENUE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.681478', 'longitude': '-73.791629', 'needs_recoding': False}"
Albany,732384,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #10695        ,463,ALBANY SHAKER ROAD       ,             ,               ,ALBANY            ,NY,12211,10000,"{'human_address': '{""address"":""463 ALBANY SHAKER ROAD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12211""}', 'latitude': '42.705369', 'longitude': '-73.776379', 'needs_recoding': False}"
Albany,732382,Store,A     ,WALGREEN EASTERN CO INC          ,RITE AID #10699        ,1215,TROY SCHENECTADY ROAD     ,             ,               ,LATHAM            ,NY,12110,12000,"{'human_address': '{""address"":""1215 TROY SCHENECTADY ROAD"",""city"":""LATHAM"",""state"":""NY"",""zip"":""12110""}', 'latitude': '42.772845', 'longitude': '-73.824616', 'needs_recoding': False}"
Albany,732943,Store,JAC   ,ZACHAREWICZ SOODKANONG           ,SHORT AND STOUT TEA COM,1,CROSSGATES MALL RD #C218 ,             ,               ,ALBANY            ,NY,12203,863,"{'human_address': '{""address"":""1 CROSSGATES MALL RD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12203""}', 'latitude': '42.687038', 'longitude': '-73.850605', 'needs_recoding': False}"
Albany,734447,Store,JAC   ,DEANNE SAPEL                     ,ZOPALS CHEESECAKE      ,113,EVERETTE ROAD                ,             ,               ,ALBANY            ,NY,12211,0,"{'human_address': '{""address"":""113 EVERETTE ROAD"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12211""}', 'latitude': '42.693853', 'longitude': '-73.773554', 'needs_recoding': False}"
Albany,734371,Store,JAC   ,BRITO RICHARD                    ,SE7EN DOMINICAN BODEGA ,32,CENTRAL AVE                   ,             ,               ,ALBANY            ,NY,12210,1200,"{'human_address': '{""address"":""32 CENTRAL AVE"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12210""}', 'latitude': '42.657999', 'longitude': '-73.764778', 'needs_recoding': False}"
Albany,725598,Store,JAC   ,QUAIL STREET MARKET CORP         ,DEB'S MRKT & BEAUTY SUP,22,QUAIL ST                      ,             ,               ,ALBANY            ,NY,12206,7000,"{'human_address': '{""address"":""22 QUAIL ST"",""city"":""ALBANY"",""state"":""NY"",""zip"":""12206""}', 'latitude': '42.668725', 'longitude': '-73.768746', 'needs_recoding': False}"
